국가,연도,평균 사망률,평균 의료 인력 수,1인당 보건지출,평군 소비량,평균 판매량,평균 치료비,평균 복지 비용(G$)
독일,2014,28.651428571428575,674347.5,5192.50537109,56.85,44590.9,13571.599999999999,96320.72
독일,2015,29.177142857142854,685564.5,5355.32421875,57.14,39221.0,11792.57,83905.0
라트비아,2004,78.83714285714287,8819.0,756.37872314,15.1,208.7,256.17,188.64
라트비아,2005,79.55428571428571,8916.0,807.58197021,14.5,222.6,266.6666666666667,209.1
라트비아,2006,78.30857142857143,9580.0,899.73242188,12.8,263.1,348.21666666666664,262.3
라트비아,2007,77.59714285714286,9545.0,1000.56054688,13.9,348.5,441.83,344.1
라트비아,2008,71.26857142857143,9565.0,1085.89611816,12.5,421.9,578.4699999999999,465.4
라트비아,2009,67.98571428571428,8618.5,1028.87219238,11.5,376.8,458.82666666666665,476.03
라트비아,2010,67.47428571428571,8515.5,1068.70056152,12.6,365.9,414.4666666666667,466.05
라트비아,2011,63.957142857142856,8331.0,1093.87268066,12.9,406.4,433.3333333333333,471.44
라트비아,2012,63.70285714285714,8141.5,1146.01062012,28.830000000000002,379.6,419.39333333333326,435.82
라트비아,2013,62.63142857142857,8127.0,1217.72644043,30.29,408.3,430.81666666666666,471.2
라트비아,2014,61.37714285714285,8015.5,1296.14941406,32.01,419.7,43.79,482.02
라트비아,2015,59.768571428571434,7793.5,1405.77844238,34.78,367.9,38.88,429.76
룩셈부르크,2000,38.84285714285714,2079.0,3286.67773438,18.728571428571428,108.2,44.30666666666667,398.31
룩셈부르크,2001,37.80571428571429,2136.0,3603.98339844,20.357142857142858,116.0,48.11666666666667,434.52
룩셈부르크,2002,37.84571428571428,2235.5,3979.25366211,22.17142857142857,132.2,56.326666666666675,505.04
룩셈부르크,2003,39.05714285714286,2555.5,4217.46582031,27.58888888888889,169.7,73.08999999999999,674.8800000000001
룩셈부르크,2004,34.082857142857144,2638.0,4737.31787109,45.019999999999996,196.5,91.15333333333335,801.5700000000002
룩셈부르크,2005,32.09714285714286,3143.5,4941.68310547,48.92,200.6,96.66666666666667,850.4399999999999
룩셈부르크,2006,33.47428571428571,3201.5,5268.86181641,48.510000000000005,206.4,102.18333333333332,907.36
룩셈부르크,2007,32.74285714285714,1288.0,5277.87939453,43.08,233.8,112.81,1028.1799999999998
룩셈부르크,2008,28.9,1327.0,5725.23193359,47.39,272.2,130.72,1222.0199999999998
룩셈부르크,2009,29.90285714285714,3439.5,6091.46191406,54.0,263.9,136.13333333333335,1233.6
룩셈부르크,2010,28.34857142857143,3503.0,6078.58740234,58.489999999999995,251.1,136.3,1228.92
룩셈부르크,2011,27.582857142857144,3641.5,5694.88330078,64.53999999999999,265.0,128.12,1272.0
룩셈부르크,2012,25.614285714285714,3909.5,5175.36523438,70.65,251.5,107.25333333333333,1253.0700000000002
룩셈부르크,2013,24.34,4009.5,5346.19628906,74.55,258.9,115.65666666666668,1375.91
룩셈부르크,2014,24.102857142857143,4130.0,5573.94482422,76.74,254.1,121.86666666666666,1447.5899999999997
룩셈부르크,2015,22.81714285714286,4219.5,5546.68212891,80.7,213.7,103.71666666666668,1246.3200000000002
벨기에,2003,37.37428571428571,29646.0,2850.66943359,34.599999999999994,5199.9,959.3299999999999,8157.179999999999
벨기에,2004,35.49142857142857,60767.5,3007.65966797,37.2,6042.3,1135.4466666666667,9359.9
벨기에,2005,34.917142857142856,62241.0,3082.63745117,37.888888888888886,6253.2,1173.4433333333334,9755.68
벨기에,2006,32.69714285714286,63336.0,3237.81542969,40.675,6407.6,1227.51,10279.08
벨기에,2007,32.21714285714286,64502.5,3382.28417969,40.955555555555556,7363.600000000001,1427.0199999999998,11757.5
벨기에,2008,31.785714285714285,65543.0,3663.81152344,46.18888888888889,8261.4,1658.1066666666666,13652.8
벨기에,2009,30.720000000000002,66660.5,3928.75708008,48.62222222222223,8041.299999999999,1681.4033333333334,13861.44
벨기에,2010,29.942857142857143,68164.0,4100.81152344,50.455555555555556,7797.200000000001,1669.2166666666665,13660.4
벨기에,2011,28.794285714285714,70220.0,4269.34912109,51.74444444444444,8342.4,1847.5466666666664,15103.14
벨기에,2012,28.2,71957.0,4455.87548828,53.111111111111114,7630.899999999999,1796.2,14290.56
벨기에,2013,27.442857142857143,73979.0,4621.21923828,54.3,7899.5,1901.96,15230.72
벨기에,2014,25.89142857142857,75980.5,4702.52832031,55.833333333333336,7901.200000000001,1972.0166666666667,15559.770000000002
벨기에,2015,26.068571428571428,78073.5,4834.50537109,57.666666666666664,6869.7,1665.1833333333334,13631.95
스웨덴,2000,34.80285714285715,56141.0,2173.01855469,49.22727272727273,2324.5,1557.21,6964.200000000001
스웨덴,2001,34.34285714285714,57352.5,2368.41894531,51.84545454545455,2254.4,4946.626666666666,6447.84
스웨덴,2002,33.93714285714285,58875.5,2542.59521484,53.36363636363637,2643.0,5549.453333333334,7283.64
스웨덴,2003,33.09142857142857,59901.5,2647.45068359,55.8,3349.8,7064.07,9360.4
스웨덴,2004,31.905714285714286,61390.5,2754.24731445,58.09090909090909,3864.6,7908.436666666667,10590.25
스웨덴,2005,31.122857142857143,62888.5,2795.51928711,59.08181818181818,3929.6,8069.163333333333,10628.62
스웨덴,2006,30.27714285714286,64347.5,3044.11352539,59.89090909090908,4185.3,8624.03,11212.15
스웨덴,2007,29.42,65718.0,3277.71606445,60.89090909090908,4855.7,9977.12,12479.02
스웨덴,2008,29.025714285714287,66648.5,3473.59423828,61.56363636363637,5240.1,10786.24,13149.58
스웨덴,2009,27.997142857142858,67565.0,3550.62109375,61.41818181818182,4635.1,9740.303333333333,11872.8
스웨덴,2010,26.888571428571428,68744.0,3529.96337891,60.83636363636364,5003.0,10538.236666666666,12841.22
스웨덴,2011,26.225714285714286,69815.5,4665.49902344,61.09090909090909,5664.4,16242.783333333333,14524.73
스웨덴,2012,26.177142857142854,70889.5,4896.18164063,61.3,5330.6,16108.846666666666,14530.75
