"국가별","시점","항목",데이터
"이스라엘","2011","간호사",37300
"이스라엘","2011","- 천명당 간호사",4.8
"이스라엘","2012","의사",23494
"이스라엘","2012","- 천명당 의사",3.0
"이스라엘","2012","약사",5967
"이스라엘","2012","- 천명당 약사",0.8
"이스라엘","2012","치과의사",5367
"이스라엘","2012","- 천명당 치과의사",0.7
"이스라엘","2012","간호사",38133
"이스라엘","2012","- 천명당 간호사",4.8
"이스라엘","2013","의사",23725
"이스라엘","2013","- 천명당 의사",2.9
"이스라엘","2013","약사",5867
"이스라엘","2013","- 천명당 약사",0.7
"이스라엘","2013","치과의사",5400
"이스라엘","2013","- 천명당 치과의사",0.7
"이스라엘","2013","간호사",39200
"이스라엘","2013","- 천명당 간호사",4.9
"이스라엘","2014","의사",24494
"이스라엘","2014","- 천명당 의사",3.0
"이스라엘","2014","약사",5800
"이스라엘","2014","- 천명당 약사",0.7
"이스라엘","2014","치과의사",6300
"이스라엘","2014","- 천명당 치과의사",0.8
"이스라엘","2014","간호사",39967
"이스라엘","2014","- 천명당 간호사",4.9
"이스라엘","2015","의사",25731
"이스라엘","2015","- 천명당 의사",3.1
"이스라엘","2015","약사",6233
"이스라엘","2015","- 천명당 약사",0.7
"이스라엘","2015","치과의사",6633
"이스라엘","2015","- 천명당 치과의사",0.8
"이스라엘","2015","간호사",40900
"이스라엘","2015","- 천명당 간호사",4.9
"이스라엘","2016","의사",26358
"이스라엘","2016","- 천명당 의사",3.1
"이스라엘","2016","약사",6133
"이스라엘","2016","- 천명당 약사",0.7
"이스라엘","2016","치과의사",6533
"이스라엘","2016","- 천명당 치과의사",0.8
"이스라엘","2016","간호사",42634
"이스라엘","2016","- 천명당 간호사",5.0
"이스라엘","2017","의사",27353
"이스라엘","2017","- 천명당 의사",3.1
"이스라엘","2017","약사",6600
"이스라엘","2017","- 천명당 약사",0.8
"이스라엘","2017","치과의사",6000
"이스라엘","2017","- 천명당 치과의사",0.7
"이스라엘","2017","간호사",44300
"이스라엘","2017","- 천명당 간호사",5.1
"이스라엘","2018","의사",28618
"이스라엘","2018","- 천명당 의사",3.2
"이스라엘","2018","약사",7700
"이스라엘","2018","- 천명당 약사",0.9
"이스라엘","2018","치과의사",6800
"이스라엘","2018","- 천명당 치과의사",0.8
"이스라엘","2018","간호사",44700
"이스라엘","2018","- 천명당 간호사",5.0
"이스라엘","2019","의사",29803
"이스라엘","2019","- 천명당 의사",3.3
"이스라엘","2019","약사",8500
"이스라엘","2019","- 천명당 약사",0.9
"이스라엘","2019","치과의사",7500
"이스라엘","2019","- 천명당 치과의사",0.8
"이스라엘","2019","간호사",45400
"이스라엘","2019","- 천명당 간호사",5.0
"일본","1998","의사",238771
"일본","1998","- 천명당 의사",1.9
"일본","1998","약사",130259
"일본","1998","- 천명당 약사",1.0
"일본","1998","치과의사",85671
"일본","1998","- 천명당 치과의사",0.7
"일본","2000","의사",245315
"일본","2000","- 천명당 의사",1.9
"일본","2000","약사",142910
