국가,연도,직업,수,국가영문,위도,경도
벨기에,2004,의사,29891.0,belgium,50.83333333,4.00000000
벨기에,2004,약사,11618.0,belgium,50.83333333,4.00000000
벨기에,2004,치과의사,7712.0,belgium,50.83333333,4.00000000
벨기에,2004,간호사,91644.0,belgium,50.83333333,4.00000000
벨기에,2005,의사,30081.0,belgium,50.83333333,4.00000000
벨기에,2005,약사,11882.0,belgium,50.83333333,4.00000000
벨기에,2005,치과의사,7694.0,belgium,50.83333333,4.00000000
벨기에,2005,간호사,94401.0,belgium,50.83333333,4.00000000
벨기에,2006,의사,30440.0,belgium,50.83333333,4.00000000
벨기에,2006,약사,12109.0,belgium,50.83333333,4.00000000
벨기에,2006,치과의사,7748.0,belgium,50.83333333,4.00000000
벨기에,2006,간호사,96232.0,belgium,50.83333333,4.00000000
벨기에,2007,의사,30868.0,belgium,50.83333333,4.00000000
벨기에,2007,약사,12305.0,belgium,50.83333333,4.00000000
벨기에,2007,치과의사,7677.0,belgium,50.83333333,4.00000000
벨기에,2007,간호사,98137.0,belgium,50.83333333,4.00000000
벨기에,2008,의사,31281.0,belgium,50.83333333,4.00000000
벨기에,2008,약사,12602.0,belgium,50.83333333,4.00000000
벨기에,2008,치과의사,7663.0,belgium,50.83333333,4.00000000
벨기에,2008,간호사,99805.0,belgium,50.83333333,4.00000000
벨기에,2009,의사,31578.0,belgium,50.83333333,4.00000000
벨기에,2009,약사,12450.0,belgium,50.83333333,4.00000000
벨기에,2009,치과의사,7655.0,belgium,50.83333333,4.00000000
벨기에,2009,간호사,101743.0,belgium,50.83333333,4.00000000
벨기에,2010,의사,31815.0,belgium,50.83333333,4.00000000
벨기에,2010,약사,12629.0,belgium,50.83333333,4.00000000
벨기에,2010,치과의사,7675.0,belgium,50.83333333,4.00000000
벨기에,2010,간호사,104513.0,belgium,50.83333333,4.00000000
벨기에,2011,의사,32182.0,belgium,50.83333333,4.00000000
벨기에,2011,약사,12845.0,belgium,50.83333333,4.00000000
벨기에,2011,치과의사,7777.0,belgium,50.83333333,4.00000000
벨기에,2011,간호사,108258.0,belgium,50.83333333,4.00000000
벨기에,2012,의사,32583.0,belgium,50.83333333,4.00000000
벨기에,2012,약사,13027.0,belgium,50.83333333,4.00000000
벨기에,2012,치과의사,7869.0,belgium,50.83333333,4.00000000
벨기에,2012,간호사,111331.0,belgium,50.83333333,4.00000000
벨기에,2013,의사,32999.0,belgium,50.83333333,4.00000000
벨기에,2013,약사,13280.0,belgium,50.83333333,4.00000000
벨기에,2013,치과의사,7965.0,belgium,50.83333333,4.00000000
벨기에,2013,간호사,114959.0,belgium,50.83333333,4.00000000
벨기에,2014,의사,33353.0,belgium,50.83333333,4.00000000
벨기에,2014,약사,13508.0,belgium,50.83333333,4.00000000
벨기에,2014,치과의사,8108.0,belgium,50.83333333,4.00000000
벨기에,2014,간호사,118608.0,belgium,50.83333333,4.00000000
벨기에,2015,의사,34020.0,belgium,50.83333333,4.00000000
벨기에,2015,약사,13643.0,belgium,50.83333333,4.00000000
벨기에,2015,치과의사,8291.0,belgium,50.83333333,4.00000000
벨기에,2015,간호사,122127.0,belgium,50.83333333,4.00000000
벨기에,2016,의사,34834.0,belgium,50.83333333,4.00000000
벨기에,2016,약사,13876.0,belgium,50.83333333,4.00000000
벨기에,2016,치과의사,8478.0,belgium,50.83333333,4.00000000
벨기에,2016,간호사,124196.0,belgium,50.83333333,4.00000000
벨기에,2017,의사,35069.0,belgium,50.83333333,4.00000000
벨기에,2017,약사,14084.0,belgium,50.83333333,4.00000000
벨기에,2017,치과의사,8516.0,belgium,50.83333333,4.00000000
벨기에,2017,간호사,127681.0,belgium,50.83333333,4.00000000
벨기에,2018,의사,35762.0,belgium,50.83333333,4.00000000
벨기에,2018,약사,14280.0,belgium,50.83333333,4.00000000
벨기에,2018,치과의사,8614.0,belgium,50.83333333,4.00000000
벨기에,2018,간호사,126496.0,belgium,50.83333333,4.00000000
벨기에,2019,의사,36343.0,belgium,50.83333333,4.00000000
벨기에,2019,약사,14554.0,belgium,50.83333333,4.00000000
벨기에,2019,치과의사,8697.0,belgium,50.83333333,4.00000000
체코,1998,의사,31192.0,czech republic,49.75000000,15.50000000
체코,1998,약사,4559.0,czech republic,49.75000000,15.50000000
체코,1998,치과의사,6386.0,czech republic,49.75000000,15.50000000
체코,1998,간호사,75617.0,czech republic,49.75000000,15.50000000
체코,1999,의사,31653.0,czech republic,49.75000000,15.50000000
체코,1999,약사,4786.0,czech republic,49.75000000,15.50000000
체코,1999,치과의사,6426.0,czech republic,49.75000000,15.50000000
체코,1999,간호사,75871.0,czech republic,49.75000000,15.50000000
체코,2000,의사,34604.0,czech republic,49.75000000,15.50000000
체코,2000,약사,5059.0,czech republic,49.75000000,15.50000000
체코,2000,치과의사,6658.0,czech republic,49.75000000,15.50000000
체코,2000,간호사,77998.0,czech republic,49.75000000,15.50000000
체코,2001,의사,35222.0,czech republic,49.75000000,15.50000000
체코,2001,약사,5199.0,czech republic,49.75000000,15.50000000
체코,2001,치과의사,6698.0,czech republic,49.75000000,15.50000000
체코,2001,간호사,80206.0,czech republic,49.75000000,15.50000000
체코,2002,의사,35750.0,czech republic,49.75000000,15.50000000
체코,2002,약사,5397.0,czech republic,49.75000000,15.50000000
체코,2002,치과의사,6697.0,czech republic,49.75000000,15.50000000
체코,2002,간호사,81491.0,czech republic,49.75000000,15.50000000
체코,2003,의사,35960.0,czech republic,49.75000000,15.50000000
체코,2003,약사,5610.0,czech republic,49.75000000,15.50000000
체코,2003,치과의사,6737.0,czech republic,49.75000000,15.50000000
체코,2003,간호사,81384.0,czech republic,49.75000000,15.50000000
체코,2004,의사,35907.0,czech republic,49.75000000,15.50000000
체코,2004,약사,5674.0,czech republic,49.75000000,15.50000000
체코,2004,치과의사,6843.0,czech republic,49.75000000,15.50000000
체코,2004,간호사,82743.0,czech republic,49.75000000,15.50000000
체코,2005,의사,36381.0,czech republic,49.75000000,15.50000000
체코,2005,약사,5761.0,czech republic,49.75000000,15.50000000
체코,2005,치과의사,6906.0,czech republic,49.75000000,15.50000000
체코,2005,간호사,82835.0,czech republic,49.75000000,15.50000000
체코,2006,의사,36595.0,czech republic,49.75000000,15.50000000
체코,2006,약사,5842.0,czech republic,49.75000000,15.50000000
체코,2006,치과의사,6933.0,czech republic,49.75000000,15.50000000
체코,2006,간호사,82668.0,czech republic,49.75000000,15.50000000
체코,2007,의사,36815.0,czech republic,49.75000000,15.50000000
체코,2007,약사,5785.0,czech republic,49.75000000,15.50000000
체코,2007,치과의사,6948.0,czech republic,49.75000000,15.50000000
체코,2007,간호사,82667.0,czech republic,49.75000000,15.50000000
체코,2008,의사,36921.0,czech republic,49.75000000,15.50000000
체코,2008,약사,5861.0,czech republic,49.75000000,15.50000000
체코,2008,치과의사,6974.0,czech republic,49.75000000,15.50000000
체코,2008,간호사,82765.0,czech republic,49.75000000,15.50000000
체코,2009,의사,37351.0,czech republic,49.75000000,15.50000000
체코,2009,약사,5915.0,czech republic,49.75000000,15.50000000
체코,2009,치과의사,7092.0,czech republic,49.75000000,15.50000000
체코,2009,간호사,84514.0,czech republic,49.75000000,15.50000000
체코,2010,의사,37661.0,czech republic,49.75000000,15.50000000
체코,2010,약사,6061.0,czech republic,49.75000000,15.50000000
체코,2010,치과의사,7263.0,czech republic,49.75000000,15.50000000
체코,2010,간호사,84796.0,czech republic,49.75000000,15.50000000
체코,2011,의사,38171.0,czech republic,49.75000000,15.50000000
체코,2011,약사,6222.0,czech republic,49.75000000,15.50000000
체코,2011,치과의사,7429.0,czech republic,49.75000000,15.50000000
체코,2011,간호사,84328.0,czech republic,49.75000000,15.50000000
체코,2012,의사,38624.0,czech republic,49.75000000,15.50000000
체코,2012,약사,6327.0,czech republic,49.75000000,15.50000000
체코,2012,치과의사,7461.0,czech republic,49.75000000,15.50000000
체코,2012,간호사,84688.0,czech republic,49.75000000,15.50000000
체코,2013,의사,38776.0,czech republic,49.75000000,15.50000000
체코,2013,약사,6383.0,czech republic,49.75000000,15.50000000
체코,2013,치과의사,7426.0,czech republic,49.75000000,15.50000000
체코,2013,간호사,84045.0,czech republic,49.75000000,15.50000000
체코,2014,약사,6724.0,czech republic,49.75000000,15.50000000
체코,2014,치과의사,7906.0,czech republic,49.75000000,15.50000000
체코,2014,간호사,83492.0,czech republic,49.75000000,15.50000000
체코,2015,약사,6965.0,czech republic,49.75000000,15.50000000
체코,2015,간호사,84450.0,czech republic,49.75000000,15.50000000
체코,2016,약사,7172.0,czech republic,49.75000000,15.50000000
체코,2016,치과의사,7955.0,czech republic,49.75000000,15.50000000
체코,2016,간호사,83799.0,czech republic,49.75000000,15.50000000
체코,2017,약사,7308.0,czech republic,49.75000000,15.50000000
체코,2017,치과의사,7921.0,czech republic,49.75000000,15.50000000
체코,2017,간호사,90061.0,czech republic,49.75000000,15.50000000
체코,2018,의사,42919.0,czech republic,49.75000000,15.50000000
체코,2018,약사,7347.0,czech republic,49.75000000,15.50000000
체코,2018,치과의사,7844.0,czech republic,49.75000000,15.50000000
체코,2018,간호사,90587.0,czech republic,49.75000000,15.50000000
체코,2019,의사,43399.0,czech republic,49.75000000,15.50000000
체코,2019,약사,7686.0,czech republic,49.75000000,15.50000000
체코,2019,치과의사,7825.0,czech republic,49.75000000,15.50000000
