국가,연도,평균 사망률,평균 의료 인력 수,1인당 보건지출,평균 소비량,평균 판매량,평균 치료비,평균 복지 비용(G$),보건지출-복지비용 비율,보건지출-치료비 비율,보건지출-의약품 소비량 비율,의약품 판매량-의약품 소비량 비율,의료 인력-평균 치료비 비율
네덜란드,2008,28.634285714285717,138200.0,4316.76904297,46.55,7594.0,3054.3133333333335,14694.0,0.2937776672771199,0.7075461538317375,92.7340288500537,163.13641245972073,0.022100675349734686
네덜란드,2009,27.685714285714287,,4465.50244141,46.18,7088.7,3066.043333333333,14844.510000000002,0.300818446779988,0.68660657418994,96.69775750129926,153.50151580770896,
네덜란드,2010,27.071428571428573,,4585.03369141,46.38181818181818,6911.1,3049.17,14815.5,0.30947546093010697,0.6650267381268277,98.85411721973735,149.0045080360643,
네덜란드,2011,26.24857142857143,,4779.41992188,48.7,7252.1,3256.92,15821.75,0.30207909503563135,0.6814467138762899,98.14003946365503,148.91375770020534,
네덜란드,2012,25.96,,4989.33056641,48.81818181818182,5920.7,3172.25,15018.1,0.3322211575638729,0.635806739556755,102.20230210523276,121.28063314711359,
네덜란드,2013,24.834285714285716,,5219.26367188,51.23636363636364,5712.3,3347.51,15871.89,0.3288369357322915,0.6413759124750663,101.86639529929028,111.48917672107878,
네덜란드,2014,24.474285714285713,116023.5,5213.53466797,53.5,5750.2,3403.5066666666667,15948.9,0.3268899214347071,0.6528213358926208,97.44924613028037,107.4803738317757,0.02933463192083213
네덜란드,2015,24.294285714285717,118742.0,5205.21484375,55.75454545454545,4952.1,2846.0166666666664,13469.28,0.38645086030953396,0.5467625740912371,93.35947053848037,88.81966411218002,0.023968070831438468
네덜란드,2016,23.742857142857144,120959.0,5279.84814453,57.99090909090909,5016.8,2919.4133333333334,13711.25,0.3850741649762057,0.5529350946121222,91.04613511495532,86.51011130271202,0.024135561085436665
네덜란드,2019,22.702777777777776,124916.0,,59.61818181818182,5444.8,3381.7599999999998,14604.31,,,,91.3278438548338,0.027072272567165132
노르웨이,1998,38.97142857142857,14029.0,,,,4980.465,3484.92,,,,,0.3550121177560767
노르웨이,1999,38.66857142857143,14665.0,,40.72,1360.0,5225.19,3667.980000000001,,,,33.39882121807466,0.35630344357313326
노르웨이,2000,36.879999999999995,15180.0,2857.60083008,42.35,1280.4,5014.72,3492.48,0.8182153741982774,1.7548707108471866,67.47581653081464,30.233766233766236,0.3303504611330699
노르웨이,2001,35.71142857142858,15978.0,3037.69995117,42.23636363636364,1384.6,5321.025,3688.8,0.8234927215273259,1.7516624701365104,71.92143663984072,32.78217821782177,0.33302196770559517
노르웨이,2002,35.36,38470.5,3429.11572266,44.845454545454544,1751.1,4573.306666666666,4437.849999999999,0.7726975275550098,1.3336693878383044,76.46517930115549,39.047435637543074,0.11887827469532931
노르웨이,2003,33.48571428571429,39745.0,3562.25268555,46.71818181818182,2042.3,5491.243333333333,5402.040000000001,0.6594273062676321,1.541508651423896,76.24981424605954,43.715314263475385,0.1381618652241372
노르웨이,2004,32.13428571428572,41300.5,3761.83520508,49.4,2306.8,6042.433333333334,5898.35,0.637777548819585,1.6062461548484643,76.1505102242915,46.69635627530365,0.14630412061193773
노르웨이,2005,30.69714285714286,42936.0,3995.39672852,50.472727272727276,2495.9,6711.96,6394.23,0.6248440748174526,1.6799232857374558,79.15951731577809,49.450468299711815,0.1563247624371157
노르웨이,2006,29.545714285714283,44435.0,4299.27099609,51.42727272727273,2572.8,7192.253333333334,6739.200000000001,0.6379497560674857,1.6729006708054401,83.59904712213188,50.02792999823228,0.16186009527024495
노르웨이,2007,29.30285714285714,45487.5,4525.13183594,53.4,2917.3,8571.956666666667,7857.64,0.5758894319337613,1.894299874002682,84.74029655318353,54.631086142322104,0.18844642300998443
노르웨이,2008,28.72,46583.5,4945.30029297,54.33636363636364,3062.1,9941.37,8922.390000000001,0.5542573562655296,2.0102661943769466,91.01272080085326,56.354525681780146,0.2134096836862838
노르웨이,2009,27.62857142857143,48224.0,5059.64160156,54.3,2894.2,9461.686666666666,8689.5,0.5822707407284654,1.8700310045180708,93.17940334364641,53.300184162062614,0.1962028588807786
노르웨이,2010,26.934285714285714,49485.5,5194.49365234,53.054545454545455,2959.9,10259.05,9476.48,0.5481458993571453,1.9749855686855124,97.90855067810145,55.78975325565456,0.2073142637742369
노르웨이,2011,26.394285714285715,50991.0,5492.07714844,52.63636363636363,3247.3,11763.576666666668,10763.28,0.5102605477549594,2.141917593056401,104.33998036759932,61.69309153713299,0.23069907761500397
노르웨이,2012,25.571428571428573,52088.5,5774.39208984,52.99090909090909,3231.6,11982.186666666666,10954.25,0.5271371467549125,2.075055950521482,108.9694853117859,60.98404529078744,0.23003516451168043
