"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"감축","신에너지","100억 원 이상 600억 원 미만",2019 p),226848
"감축","신에너지","600억 원 이상 2,000억 원 미만",2019 p),27375
"감축","신에너지","2,000억 원 이상",2019 p),11365085
"감축","신에너지","2,000억 원 이상",2020,10500674
"감축","신에너지","기타(공공기관)",2019 p),0
"감축","신에너지","기타(공공기관)",2020,4974
"감축","에너지저장","전체",2019 p),54714293
"감축","에너지저장","전체",2020,43323673
"감축","에너지저장","100억 원 미만",2019 p),442886
"감축","에너지저장","100억 원 미만",2020,419886
"감축","에너지저장","100억 원 이상 500억 원 미만",2020,652848
"감축","에너지저장","500억 원 이상 1,000억 원 미만",2020,936370
"감축","에너지저장","1,000억 원 이상 2,000억 원 미만",2020,604347
"감축","에너지저장","100억 원 이상 600억 원 미만",2019 p),1647673
"감축","에너지저장","600억 원 이상 2,000억 원 미만",2019 p),1756739
"감축","에너지저장","2,000억 원 이상",2019 p),50634424
"감축","에너지저장","2,000억 원 이상",2020,40476074
"감축","에너지저장","기타(공공기관)",2019 p),232571
"감축","에너지저장","기타(공공기관)",2020,234148
"감축","송배전&전력IT","전체",2019 p),13660758
"감축","송배전&전력IT","전체",2020,10341593
"감축","송배전&전력IT","100억 원 미만",2019 p),446735
"감축","송배전&전력IT","100억 원 미만",2020,842601
"감축","송배전&전력IT","100억 원 이상 500억 원 미만",2020,760353
"감축","송배전&전력IT","500억 원 이상 1,000억 원 미만",2020,750664
"감축","송배전&전력IT","1,000억 원 이상 2,000억 원 미만",2020,1387672
"감축","송배전&전력IT","100억 원 이상 600억 원 미만",2019 p),455301
"감축","송배전&전력IT","600억 원 이상 2,000억 원 미만",2019 p),640204
"감축","송배전&전력IT","2,000억 원 이상",2019 p),11473067
"감축","송배전&전력IT","2,000억 원 이상",2020,4321620
"감축","송배전&전력IT","기타(공공기관)",2019 p),645451
"감축","송배전&전력IT","기타(공공기관)",2020,2278682
"감축","에너지수요","전체",2019 p),45648146
"감축","에너지수요","전체",2020,59000220
"감축","에너지수요","100억 원 미만",2019 p),2502351
"감축","에너지수요","100억 원 미만",2020,1996698
"감축","에너지수요","100억 원 이상 500억 원 미만",2020,4212422
"감축","에너지수요","500억 원 이상 1,000억 원 미만",2020,1477372
"감축","에너지수요","1,000억 원 이상 2,000억 원 미만",2020,3973328
"감축","에너지수요","100억 원 이상 600억 원 미만",2019 p),3510682
"감축","에너지수요","600억 원 이상 2,000억 원 미만",2019 p),6925672
"감축","에너지수요","2,000억 원 이상",2019 p),28652228
"감축","에너지수요","2,000억 원 이상",2020,46329587
"감축","에너지수요","기타(공공기관)",2019 p),4057214
"감축","에너지수요","기타(공공기관)",2020,1010813
"감축","온실가스 고정","전체",2019 p),1707498
"감축","온실가스 고정","전체",2020,1511254
"감축","온실가스 고정","100억 원 미만",2019 p),46894
"감축","온실가스 고정","100억 원 미만",2020,18872
"감축","온실가스 고정","100억 원 이상 500억 원 미만",2020,47848
"감축","온실가스 고정","500억 원 이상 1,000억 원 미만",2020,-
