"기후기술분류별(1)","기후기술분류별(2)","기술수명주기단계별(1)",시점,데이터
"감축","재생에너지","기술성숙기",2020,159
"감축","재생에너지","기술쇠퇴기",2019 p),5
"감축","재생에너지","기술쇠퇴기",2020,0
"감축","신에너지","합계",2019 p),148
"감축","신에너지","합계",2020,148
"감축","신에너지","기술개발기",2019 p),7
"감축","신에너지","기술개발기",2020,2
"감축","신에너지","기술도입기",2019 p),9
"감축","신에너지","기술도입기",2020,101
"감축","신에너지","기술성장기",2019 p),118
"감축","신에너지","기술성장기",2020,42
"감축","신에너지","기술성숙기",2019 p),13
"감축","신에너지","기술성숙기",2020,3
"감축","신에너지","기술쇠퇴기",2019 p),-
"감축","신에너지","기술쇠퇴기",2020,0
"감축","에너지저장","합계",2019 p),481
"감축","에너지저장","합계",2020,464
"감축","에너지저장","기술개발기",2019 p),40
"감축","에너지저장","기술개발기",2020,54
"감축","에너지저장","기술도입기",2019 p),29
"감축","에너지저장","기술도입기",2020,70
"감축","에너지저장","기술성장기",2019 p),314
"감축","에너지저장","기술성장기",2020,261
"감축","에너지저장","기술성숙기",2019 p),98
"감축","에너지저장","기술성숙기",2020,78
"감축","에너지저장","기술쇠퇴기",2019 p),-
"감축","에너지저장","기술쇠퇴기",2020,0
"감축","송배전&전력IT","합계",2019 p),433
"감축","송배전&전력IT","합계",2020,424
"감축","송배전&전력IT","기술개발기",2019 p),11
"감축","송배전&전력IT","기술개발기",2020,0
"감축","송배전&전력IT","기술도입기",2019 p),15
"감축","송배전&전력IT","기술도입기",2020,265
"감축","송배전&전력IT","기술성장기",2019 p),362
"감축","송배전&전력IT","기술성장기",2020,120
"감축","송배전&전력IT","기술성숙기",2019 p),46
"감축","송배전&전력IT","기술성숙기",2020,39
"감축","송배전&전력IT","기술쇠퇴기",2019 p),-
"감축","송배전&전력IT","기술쇠퇴기",2020,0
"감축","에너지수요","합계",2019 p),2856
"감축","에너지수요","합계",2020,2790
"감축","에너지수요","기술개발기",2019 p),210
"감축","에너지수요","기술개발기",2020,225
"감축","에너지수요","기술도입기",2019 p),104
"감축","에너지수요","기술도입기",2020,419
"감축","에너지수요","기술성장기",2019 p),2029
"감축","에너지수요","기술성장기",2020,1718
"감축","에너지수요","기술성숙기",2019 p),506
"감축","에너지수요","기술성숙기",2020,419
"감축","에너지수요","기술쇠퇴기",2019 p),6
"감축","에너지수요","기술쇠퇴기",2020,8
"감축","온실가스 고정","합계",2019 p),48
"감축","온실가스 고정","합계",2020,45
"감축","온실가스 고정","기술개발기",2019 p),2
"감축","온실가스 고정","기술개발기",2020,11
"감축","온실가스 고정","기술도입기",2019 p),2
"감축","온실가스 고정","기술도입기",2020,24
"감축","온실가스 고정","기술성장기",2019 p),44
"감축","온실가스 고정","기술성장기",2020,8
"감축","온실가스 고정","기술성숙기",2019 p),-
"감축","온실가스 고정","기술성숙기",2020,1
"감축","온실가스 고정","기술쇠퇴기",2019 p),-
"감축","온실가스 고정","기술쇠퇴기",2020,0
"적응","소계","합계",2019 p),1049
"적응","소계","합계",2020,1432
"적응","소계","기술개발기",2019 p),92
"적응","소계","기술개발기",2020,139
"적응","소계","기술도입기",2019 p),65
"적응","소계","기술도입기",2020,326
"적응","소계","기술성장기",2019 p),766
"적응","소계","기술성장기",2020,843
"적응","소계","기술성숙기",2019 p),122
"적응","소계","기술성숙기",2020,119
"적응","소계","기술쇠퇴기",2019 p),5
"적응","소계","기술쇠퇴기",2020,6
"적응","농업&축산","합계",2019 p),417
"적응","농업&축산","합계",2020,533
"적응","농업&축산","기술개발기",2019 p),53
"적응","농업&축산","기술개발기",2020,59
